dataset,dataset_idx,image_file,linguistic_phenomena,caption,answer,classes,split,original_split,classes_foil,mturk,foil,challenge_set,foil_method,grammaticality_scores,nli_scores,key,declarative_statement,declarative_statement_foils,provenance_of_foils,foiling_method,orig_caption,only_caption,local_img_path
visual7w,2360434,v7w_2360434.jpg,counting,There are exactly 4 signs pictured.,4,4,test,test,1,"{'foil': 0, 'caption': 3, 'other': 0}",There are exactly 1 signs pictured.,counting-adversarial.json,,,,,,,,,,,images/v7w/v7w_2360434.jpg
visual7w,2360457,v7w_2360457.jpg,counting,There are exactly 4 kites in the sky.,4,4,test,test,2,"{'foil': 0, 'caption': 3, 'other': 0}",There are exactly 2 kites in the sky.,counting-adversarial.json,,,,,,,,,,,images/v7w/v7w_2360457.jpg
visual7w,2360508,v7w_2360508.jpg,counting,There are exactly 4 of the birds wings extended in total.,4,4,test,test,1,"{'foil': 0, 'caption': 2, 'other': 1}",There is exactly 1 of the birds wing extended in total.,counting-adversarial.json,,,,,,,,,,,images/v7w/v7w_2360508.jpg
visual7w,2360734,v7w_2360734.jpg,counting,There are exactly 4 people in the picture.,4,4,test,test,2,"{'foil': 0, 'caption': 3, 'other': 0}",There are exactly 2 people in the picture.,counting-adversarial.json,,,,,,,,,,,images/v7w/v7w_2360734.jpg
visual7w,2360933,v7w_2360933.jpg,counting,There are exactly 4 floor grates visible.,4,4,test,test,2,"{'foil': 1, 'caption': 2, 'other': 0}",There are exactly 2 floor grates visible.,counting-adversarial.json,,,,,,,,,,,images/v7w/v7w_2360933.jpg
visual7w,2360961,v7w_2360961.jpg,counting,There are exactly 4 cars.,4,4,test,test,1,"{'foil': 0, 'caption': 0, 'other': 3}",There is exactly 1 car.,counting-adversarial.json,,,,,,,,,,,images/v7w/v7w_2360961.jpg
visual7w,2361175,v7w_2361175.jpg,counting,There are exactly 4 windows and doors.,4,4,test,test,3,"{'foil': 1, 'caption': 2, 'other': 0}",There are exactly 3 windows and doors.,counting-adversarial.json,,,,,,,,,,,images/v7w/v7w_2361175.jpg
visual7w,2361244,v7w_2361244.jpg,counting,There are exactly 4 zebras in photo.,4,4,test,test,0,"{'foil': 0, 'caption': 3, 'other': 0}",There are exactly 0 zebras in photo.,counting-adversarial.json,,,,,,,,,,,images/v7w/v7w_2361244.jpg
visual7w,2361375,v7w_2361375.jpg,counting,There are exactly 4 people in this picture.,4,4,test,test,2,"{'foil': 0, 'caption': 3, 'other': 0}",There are exactly 2 people in this picture.,counting-adversarial.json,,,,,,,,,,,images/v7w/v7w_2361375.jpg
visual7w,2361437,v7w_2361437.jpg,counting,There are exactly 4 cows shown.,4,4,test,test,1,"{'foil': 0, 'caption': 3, 'other': 0}",There is exactly 1 cow shown.,counting-adversarial.json,,,,,,,,,,,images/v7w/v7w_2361437.jpg
visual7w,2362476,v7w_2362476.jpg,counting,There are exactly 4 eagles visible.,4,4,test,test,0,"{'foil': 0, 'caption': 3, 'other': 0}",There are exactly 0 eagles visible.,counting-adversarial.json,,,,,,,,,,,images/v7w/v7w_2362476.jpg
visual7w,2362752,v7w_2362752.jpg,counting,There are exactly 5 skateboarders.,5,5,test,test,0,"{'foil': 0, 'caption': 2, 'other': 1}",There are exactly 0 skateboarders.,counting-adversarial.json,,,,,,,,,,,images/v7w/v7w_2362752.jpg
visual7w,2363037,v7w_2363037.jpg,counting,There are exactly 4 players.,4,4,test,test,1,"{'foil': 0, 'caption': 3, 'other': 0}",There is exactly 1 player.,counting-adversarial.json,,,,,,,,,,,images/v7w/v7w_2363037.jpg
visual7w,2363712,v7w_2363712.jpg,counting,You see exactly 4 horses in the image.,4,4,test,test,0,"{'foil': 0, 'caption': 3, 'other': 0}",You see exactly 0 horses in the image.,counting-adversarial.json,,,,,,,,,,,images/v7w/v7w_2363712.jpg
visual7w,2363721,v7w_2363721.jpg,counting,There are exactly 4 boards behind her.,4,4,test,test,3,"{'foil': 0, 'caption': 3, 'other': 0}",There are exactly 3 boards behind her.,counting-adversarial.json,,,,,,,,,,,images/v7w/v7w_2363721.jpg
visual7w,2363965,v7w_2363965.jpg,counting,Exactly 4 ford logos can be seen.,4,4,test,test,1,"{'foil': 0, 'caption': 3, 'other': 0}",Exactly 1 ford logo can be seen.,counting-adversarial.json,,,,,,,,,,,images/v7w/v7w_2363965.jpg
visual7w,2363971,v7w_2363971.jpg,counting,There are exactly 4 people in the photo.,4,4,test,test,1,"{'foil': 0, 'caption': 3, 'other': 0}",There is exactly 1 person in the photo.,counting-adversarial.json,,,,,,,,,,,images/v7w/v7w_2363971.jpg
visual7w,2364009,v7w_2364009.jpg,counting,There are exactly 7 women in the photo.,7,7,test,test,1,"{'foil': 0, 'caption': 3, 'other': 0}",There is exactly 1 woman in the photo.,counting-adversarial.json,,,,,,,,,,,images/v7w/v7w_2364009.jpg
visual7w,2364922,v7w_2364922.jpg,counting,There are exactly 4 pizzas.,4,4,test,test,0,"{'foil': 0, 'caption': 3, 'other': 0}",There are exactly 0 pizzas.,counting-adversarial.json,,,,,,,,,,,images/v7w/v7w_2364922.jpg
visual7w,2365208,v7w_2365208.jpg,counting,There are exactly 4 people on the elephants.,4,4,test,test,0,"{'foil': 0, 'caption': 2, 'other': 1}",There are exactly 0 people on the elephants.,counting-adversarial.json,,,,,,,,,,,images/v7w/v7w_2365208.jpg
visual7w,2365548,v7w_2365548.jpg,counting,There are exactly 4 people pictured.,4,4,test,test,1,"{'foil': 0, 'caption': 2, 'other': 1}",There is exactly 1 person pictured.,counting-adversarial.json,,,,,,,,,,,images/v7w/v7w_2365548.jpg
visual7w,2366034,v7w_2366034.jpg,counting,There are exactly 4 pillows.,4,4,test,test,1,"{'foil': 0, 'caption': 3, 'other': 0}",There is exactly 1 pillow.,counting-adversarial.json,,,,,,,,,,,images/v7w/v7w_2366034.jpg
visual7w,2366163,v7w_2366163.jpg,counting,There are exactly 4 windows visible.,4,4,test,test,3,"{'foil': 0, 'caption': 3, 'other': 0}",There are exactly 3 windows visible.,counting-adversarial.json,,,,,,,,,,,images/v7w/v7w_2366163.jpg
visual7w,2366253,v7w_2366253.jpg,counting,There are exactly 6 people in the photo.,6,6,test,test,0,"{'foil': 0, 'caption': 3, 'other': 0}",There are exactly 0 people in the photo.,counting-adversarial.json,,,,,,,,,,,images/v7w/v7w_2366253.jpg
visual7w,2366671,v7w_2366671.jpg,counting,There are exactly 4 lights visible.,4,4,test,test,2,"{'foil': 0, 'caption': 3, 'other': 0}",There are exactly 2 lights visible.,counting-adversarial.json,,,,,,,,,,,images/v7w/v7w_2366671.jpg
visual7w,2367490,v7w_2367490.jpg,counting,There are exactly 4 motorcycles.,4,4,test,test,3,"{'foil': 0, 'caption': 3, 'other': 0}",There are exactly 3 motorcycles.,counting-adversarial.json,,,,,,,,,,,images/v7w/v7w_2367490.jpg
visual7w,2367942,v7w_2367942.jpg,counting,There are exactly 4 propellers on the plane.,4,4,test,test,0,"{'foil': 1, 'caption': 2, 'other': 0}",There are exactly 0 propellers on the plane.,counting-adversarial.json,,,,,,,,,,,images/v7w/v7w_2367942.jpg
visual7w,2368931,v7w_2368931.jpg,counting,There are exactly 4 planes in the picture.,4,4,test,test,0,"{'foil': 0, 'caption': 3, 'other': 0}",There are exactly 0 planes in the picture.,counting-adversarial.json,,,,,,,,,,,images/v7w/v7w_2368931.jpg
visual7w,2369128,v7w_2369128.jpg,counting,There are exactly 4 zebras.,4,4,test,test,1,"{'foil': 0, 'caption': 3, 'other': 0}",There is exactly 1 zebra.,counting-adversarial.json,,,,,,,,,,,images/v7w/v7w_2369128.jpg
visual7w,2369658,v7w_2369658.jpg,counting,There are exactly 8 toys on the bed.,8,8,test,test,1,"{'foil': 0, 'caption': 3, 'other': 0}",There is exactly 1 toy on the bed.,counting-adversarial.json,,,,,,,,,,,images/v7w/v7w_2369658.jpg
visual7w,2370774,v7w_2370774.jpg,counting,There are exactly 4 planes in the picture.,4,4,test,test,0,"{'foil': 0, 'caption': 3, 'other': 0}",There are exactly 0 planes in the picture.,counting-adversarial.json,,,,,,,,,,,images/v7w/v7w_2370774.jpg
visual7w,2370873,v7w_2370873.jpg,counting,There are exactly 4 plates shown in the photo.,4,4,test,test,1,"{'foil': 1, 'caption': 2, 'other': 0}",There is exactly 1 plate shown in the photo.,counting-adversarial.json,,,,,,,,,,,images/v7w/v7w_2370873.jpg
visual7w,2370990,v7w_2370990.jpg,counting,There are exactly 4 flowers on the plate.,4,4,test,test,0,"{'foil': 1, 'caption': 1, 'other': 1}",There are exactly 0 flowers on the plate.,counting-adversarial.json,,,,,,,,,,,images/v7w/v7w_2370990.jpg
visual7w,2372073,v7w_2372073.jpg,counting,There are exactly 4 people in the picture.,4,4,test,test,1,"{'foil': 0, 'caption': 3, 'other': 0}",There is exactly 1 person in the picture.,counting-adversarial.json,,,,,,,,,,,images/v7w/v7w_2372073.jpg
visual7w,2372473,v7w_2372473.jpg,counting,There are exactly 4 scooters in the photo.,4,4,test,test,1,"{'foil': 0, 'caption': 3, 'other': 0}",There is exactly 1 scooter in the photo.,counting-adversarial.json,,,,,,,,,,,images/v7w/v7w_2372473.jpg
visual7w,2372620,v7w_2372620.jpg,counting,There are exactly 4 kites flying.,4,4,test,test,0,"{'foil': 0, 'caption': 3, 'other': 0}",There are exactly 0 kites flying.,counting-adversarial.json,,,,,,,,,,,images/v7w/v7w_2372620.jpg
visual7w,2372786,v7w_2372786.jpg,counting,There are exactly 4 plates shown.,4,4,test,test,0,"{'foil': 0, 'caption': 3, 'other': 0}",There are exactly 0 plates shown.,counting-adversarial.json,,,,,,,,,,,images/v7w/v7w_2372786.jpg
visual7w,2373128,v7w_2373128.jpg,counting,There are exactly 4 pieces of food on the plate.,4,4,test,test,3,"{'foil': 0, 'caption': 3, 'other': 0}",There are exactly 3 pieces of food on the plate.,counting-adversarial.json,,,,,,,,,,,images/v7w/v7w_2373128.jpg
visual7w,2373481,v7w_2373481.jpg,counting,There are exactly 4 containers show food.,4,4,test,test,0,"{'foil': 0, 'caption': 3, 'other': 0}",There are exactly 0 containers show food.,counting-adversarial.json,,,,,,,,,,,images/v7w/v7w_2373481.jpg
visual7w,2374607,v7w_2374607.jpg,counting,There are exactly 4 people in this image.,4,4,test,test,3,"{'foil': 0, 'caption': 3, 'other': 0}",There are exactly 3 people in this image.,counting-adversarial.json,,,,,,,,,,,images/v7w/v7w_2374607.jpg
visual7w,2375061,v7w_2375061.jpg,counting,You see exactly 4 heads.,4,4,test,test,2,"{'foil': 0, 'caption': 3, 'other': 0}",You see exactly 2 heads.,counting-adversarial.json,,,,,,,,,,,images/v7w/v7w_2375061.jpg
visual7w,2375160,v7w_2375160.jpg,counting,There are exactly 4 buildings.,4,4,test,test,2,"{'foil': 0, 'caption': 3, 'other': 0}",There are exactly 2 buildings.,counting-adversarial.json,,,,,,,,,,,images/v7w/v7w_2375160.jpg
visual7w,2375454,v7w_2375454.jpg,counting,There are exactly 4 dishes in the picture.,4,4,test,test,1,"{'foil': 0, 'caption': 3, 'other': 0}",There is exactly 1 dish in the picture.,counting-adversarial.json,,,,,,,,,,,images/v7w/v7w_2375454.jpg
visual7w,2375642,v7w_2375642.jpg,counting,There are exactly 4 people visible.,4,4,test,test,0,"{'foil': 0, 'caption': 3, 'other': 0}",There are exactly 0 people visible.,counting-adversarial.json,,,,,,,,,,,images/v7w/v7w_2375642.jpg
visual7w,2375837,v7w_2375837.jpg,counting,There are exactly 4 writing utensils clearly visible.,4,4,test,test,0,"{'foil': 1, 'caption': 2, 'other': 0}",There are exactly 0 writing utensils clearly visible.,counting-adversarial.json,,,,,,,,,,,images/v7w/v7w_2375837.jpg
visual7w,2377779,v7w_2377779.jpg,counting,There are exactly 4 pieces.,4,4,test,test,2,"{'foil': 0, 'caption': 3, 'other': 0}",There are exactly 2 pieces.,counting-adversarial.json,,,,,,,,,,,images/v7w/v7w_2377779.jpg
visual7w,2378084,v7w_2378084.jpg,counting,There are exactly 4 elephants.,4,4,test,test,3,"{'foil': 0, 'caption': 3, 'other': 0}",There are exactly 3 elephants.,counting-adversarial.json,,,,,,,,,,,images/v7w/v7w_2378084.jpg
visual7w,1592325,v7w_1592325.jpg,counting,There are exactly 4 red lights on.,4,4,test,test,0,"{'foil': 0, 'caption': 3, 'other': 0}",There are exactly 0 red lights on.,counting-adversarial.json,,,,,,,,,,,images/v7w/v7w_1592325.jpg
visual7w,2378887,v7w_2378887.jpg,counting,There are exactly 4 men playing.,4,4,test,test,3,"{'foil': 0, 'caption': 3, 'other': 0}",There are exactly 3 men playing.,counting-adversarial.json,,,,,,,,,,,images/v7w/v7w_2378887.jpg
visual7w,1592557,v7w_1592557.jpg,counting,There are exactly 4 cones.,4,4,test,test,1,"{'foil': 0, 'caption': 3, 'other': 0}",There is exactly 1 cone.,counting-adversarial.json,,,,,,,,,,,images/v7w/v7w_1592557.jpg
visual7w,2379053,v7w_2379053.jpg,counting,There are exactly 6 people visible.,6,6,test,test,2,"{'foil': 0, 'caption': 3, 'other': 0}",There are exactly 2 people visible.,counting-adversarial.json,,,,,,,,,,,images/v7w/v7w_2379053.jpg
visual7w,1592643,v7w_1592643.jpg,counting,There are exactly 8 boxes on the refrigerator.,8,8,test,test,2,"{'foil': 0, 'caption': 2, 'other': 1}",There are exactly 2 boxes on the refrigerator.,counting-adversarial.json,,,,,,,,,,,images/v7w/v7w_1592643.jpg
visual7w,1592835,v7w_1592835.jpg,counting,There are exactly 4 chairs.,4,4,test,test,1,"{'foil': 0, 'caption': 3, 'other': 0}",There is exactly 1 chair.,counting-adversarial.json,,,,,,,,,,,images/v7w/v7w_1592835.jpg
visual7w,2379433,v7w_2379433.jpg,counting,There are exactly 4 wheels on the skateboard.,4,4,test,test,1,"{'foil': 0, 'caption': 3, 'other': 0}",There is exactly 1 wheel on the skateboard.,counting-adversarial.json,,,,,,,,,,,images/v7w/v7w_2379433.jpg
visual7w,2379573,v7w_2379573.jpg,counting,There are exactly 4 train tracks.,4,4,test,test,3,"{'foil': 0, 'caption': 3, 'other': 0}",There are exactly 3 train tracks.,counting-adversarial.json,,,,,,,,,,,images/v7w/v7w_2379573.jpg
visual7w,2379640,v7w_2379640.jpg,counting,There are exactly 4 pillows.,4,4,test,test,2,"{'foil': 0, 'caption': 3, 'other': 0}",There are exactly 2 pillows.,counting-adversarial.json,,,,,,,,,,,images/v7w/v7w_2379640.jpg
visual7w,2379900,v7w_2379900.jpg,counting,There are exactly 4 doors.,4,4,test,test,2,"{'foil': 3, 'caption': 0, 'other': 0}",There are exactly 2 doors.,counting-adversarial.json,,,,,,,,,,,images/v7w/v7w_2379900.jpg
visual7w,2380605,v7w_2380605.jpg,counting,There are exactly 4 birds pictured.,4,4,test,test,0,"{'foil': 0, 'caption': 3, 'other': 0}",There are exactly 0 birds pictured.,counting-adversarial.json,,,,,,,,,,,images/v7w/v7w_2380605.jpg
visual7w,2380782,v7w_2380782.jpg,counting,There are exactly 4 horses.,4,4,test,test,3,"{'foil': 0, 'caption': 3, 'other': 0}",There are exactly 3 horses.,counting-adversarial.json,,,,,,,,,,,images/v7w/v7w_2380782.jpg
visual7w,2381178,v7w_2381178.jpg,counting,There are exactly 4 signs on the post.,4,4,test,test,2,"{'foil': 0, 'caption': 3, 'other': 0}",There are exactly 2 signs on the post.,counting-adversarial.json,,,,,,,,,,,images/v7w/v7w_2381178.jpg
visual7w,2381614,v7w_2381614.jpg,counting,There are exactly 4 kinds of vegetables shown.,4,4,test,test,3,"{'foil': 0, 'caption': 3, 'other': 0}",There are exactly 3 kinds of vegetables shown.,counting-adversarial.json,,,,,,,,,,,images/v7w/v7w_2381614.jpg
visual7w,2381926,v7w_2381926.jpg,counting,There are exactly 4 boats shown.,4,4,test,test,0,"{'foil': 0, 'caption': 2, 'other': 1}",There are exactly 0 boats shown.,counting-adversarial.json,,,,,,,,,,,images/v7w/v7w_2381926.jpg
visual7w,2382639,v7w_2382639.jpg,counting,There are exactly 7 pots on the top shelf.,7,7,test,test,1,"{'foil': 0, 'caption': 3, 'other': 0}",There is exactly 1 pot on the top shelf.,counting-adversarial.json,,,,,,,,,,,images/v7w/v7w_2382639.jpg
visual7w,285933,v7w_285933.jpg,counting,There are exactly 4 blueberries.,4,4,test,test,1,"{'foil': 0, 'caption': 3, 'other': 0}",There is exactly 1 blueberry.,counting-adversarial.json,,,,,,,,,,,images/v7w/v7w_285933.jpg
visual7w,2383290,v7w_2383290.jpg,counting,There are exactly 4 flower stems.,4,4,test,test,0,"{'foil': 1, 'caption': 2, 'other': 0}",There are exactly 0 flower stems.,counting-adversarial.json,,,,,,,,,,,images/v7w/v7w_2383290.jpg
visual7w,2384549,v7w_2384549.jpg,counting,There are exactly 4 boats in the picture.,4,4,test,test,2,"{'foil': 0, 'caption': 3, 'other': 0}",There are exactly 2 boats in the picture.,counting-adversarial.json,,,,,,,,,,,images/v7w/v7w_2384549.jpg
visual7w,2384955,v7w_2384955.jpg,counting,There are exactly 4 cows in the picture.,4,4,test,test,3,"{'foil': 0, 'caption': 3, 'other': 0}",There are exactly 3 cows in the picture.,counting-adversarial.json,,,,,,,,,,,images/v7w/v7w_2384955.jpg
visual7w,2385676,v7w_2385676.jpg,counting,There are exactly 9 pieces of fruit.,9,9,test,test,0,"{'foil': 0, 'caption': 3, 'other': 0}",There are exactly 0 pieces of fruit.,counting-adversarial.json,,,,,,,,,,,images/v7w/v7w_2385676.jpg
visual7w,2385700,v7w_2385700.jpg,counting,There are exactly 4 leaves on the pizza.,4,4,test,test,1,"{'foil': 0, 'caption': 3, 'other': 0}",There is exactly 1 leave on the pizza.,counting-adversarial.json,,,,,,,,,,,images/v7w/v7w_2385700.jpg
visual7w,2385975,v7w_2385975.jpg,counting,There are exactly 4 colors.,4,4,test,test,2,"{'foil': 0, 'caption': 3, 'other': 0}",There are exactly 2 colors.,counting-adversarial.json,,,,,,,,,,,images/v7w/v7w_2385975.jpg
visual7w,2386171,v7w_2386171.jpg,counting,There are exactly 4 people.,4,4,test,test,0,"{'foil': 0, 'caption': 3, 'other': 0}",There are exactly 0 people.,counting-adversarial.json,,,,,,,,,,,images/v7w/v7w_2386171.jpg
visual7w,2386605,v7w_2386605.jpg,counting,Exactly 4 people can be seen on the bus.,4,4,test,test,2,"{'foil': 0, 'caption': 3, 'other': 0}",Exactly 2 people can be seen on the bus.,counting-adversarial.json,,,,,,,,,,,images/v7w/v7w_2386605.jpg
visual7w,2386811,v7w_2386811.jpg,counting,There are exactly 4 jets.,4,4,test,test,1,"{'foil': 0, 'caption': 3, 'other': 0}",There is exactly 1 jet.,counting-adversarial.json,,,,,,,,,,,images/v7w/v7w_2386811.jpg
visual7w,2387063,v7w_2387063.jpg,counting,There are exactly 4 people here.,4,4,test,test,3,"{'foil': 0, 'caption': 3, 'other': 0}",There are exactly 3 people here.,counting-adversarial.json,,,,,,,,,,,images/v7w/v7w_2387063.jpg
visual7w,2387414,v7w_2387414.jpg,counting,There are exactly 4 tires.,4,4,test,test,0,"{'foil': 0, 'caption': 3, 'other': 0}",There are exactly 0 tires.,counting-adversarial.json,,,,,,,,,,,images/v7w/v7w_2387414.jpg
visual7w,2388051,v7w_2388051.jpg,counting,There are exactly 4 people.,4,4,test,test,1,"{'foil': 0, 'caption': 2, 'other': 1}",There is exactly 1 person.,counting-adversarial.json,,,,,,,,,,,images/v7w/v7w_2388051.jpg
visual7w,2389022,v7w_2389022.jpg,counting,There are exactly 4 legs on the seat.,4,4,test,test,2,"{'foil': 0, 'caption': 3, 'other': 0}",There are exactly 2 legs on the seat.,counting-adversarial.json,,,,,,,,,,,images/v7w/v7w_2389022.jpg
visual7w,2389519,v7w_2389519.jpg,counting,There are exactly 4 bikes on the rack.,4,4,test,test,2,"{'foil': 0, 'caption': 2, 'other': 1}",There are exactly 2 bikes on the rack.,counting-adversarial.json,,,,,,,,,,,images/v7w/v7w_2389519.jpg
visual7w,2389881,v7w_2389881.jpg,counting,There are exactly 4 windows visible.,4,4,test,test,3,"{'foil': 0, 'caption': 3, 'other': 0}",There are exactly 3 windows visible.,counting-adversarial.json,,,,,,,,,,,images/v7w/v7w_2389881.jpg
visual7w,2391208,v7w_2391208.jpg,counting,There are exactly 4 zebras in the picture.,4,4,test,test,1,"{'foil': 0, 'caption': 3, 'other': 0}",There is exactly 1 zebra in the picture.,counting-adversarial.json,,,,,,,,,,,images/v7w/v7w_2391208.jpg
visual7w,2391321,v7w_2391321.jpg,counting,There are exactly 4 cows.,4,4,test,test,1,"{'foil': 0, 'caption': 3, 'other': 0}",There is exactly 1 cow.,counting-adversarial.json,,,,,,,,,,,images/v7w/v7w_2391321.jpg
visual7w,2391448,v7w_2391448.jpg,counting,There are exactly 4 giraffes in this picture.,4,4,test,test,2,"{'foil': 0, 'caption': 3, 'other': 0}",There are exactly 2 giraffes in this picture.,counting-adversarial.json,,,,,,,,,,,images/v7w/v7w_2391448.jpg
visual7w,2392217,v7w_2392217.jpg,counting,There are exactly 4 people standing on the stone surface in the foreground of the photo.,4,4,test,test,0,"{'foil': 0, 'caption': 3, 'other': 0}",There are exactly 0 people standing on the stone surface in the foreground of the photo.,counting-adversarial.json,,,,,,,,,,,images/v7w/v7w_2392217.jpg
visual7w,2392482,v7w_2392482.jpg,counting,There are exactly 4 planes in the background.,4,4,test,test,1,"{'foil': 2, 'caption': 1, 'other': 0}",There is exactly 1 plane in the background.,counting-adversarial.json,,,,,,,,,,,images/v7w/v7w_2392482.jpg
visual7w,2392484,v7w_2392484.jpg,counting,There are exactly 4 shoes shown.,4,4,test,test,1,"{'foil': 0, 'caption': 3, 'other': 0}",There is exactly 1 shoe shown.,counting-adversarial.json,,,,,,,,,,,images/v7w/v7w_2392484.jpg
visual7w,2393355,v7w_2393355.jpg,counting,There are exactly 4 players or shown.,4,4,test,test,2,"{'foil': 0, 'caption': 3, 'other': 0}",There are exactly 2 players or shown.,counting-adversarial.json,,,,,,,,,,,images/v7w/v7w_2393355.jpg
visual7w,2393653,v7w_2393653.jpg,counting,There are exactly 4 colors in the girl's shirt.,4,4,test,test,2,"{'foil': 1, 'caption': 2, 'other': 0}",There are exactly 2 colors in the girl's shirt.,counting-adversarial.json,,,,,,,,,,,images/v7w/v7w_2393653.jpg
visual7w,2393836,v7w_2393836.jpg,counting,There are exactly 4 tires on the car.,4,4,test,test,3,"{'foil': 1, 'caption': 1, 'other': 1}",There are exactly 3 tires on the car.,counting-adversarial.json,,,,,,,,,,,images/v7w/v7w_2393836.jpg
visual7w,2394602,v7w_2394602.jpg,counting,There are exactly 4 women in the picture.,4,4,test,test,1,"{'foil': 0, 'caption': 3, 'other': 0}",There are exactly 1 women in the picture.,counting-adversarial.json,,,,,,,,,,,images/v7w/v7w_2394602.jpg
visual7w,2395593,v7w_2395593.jpg,counting,There are exactly 4 peppers in the picture.,4,4,test,test,3,"{'foil': 0, 'caption': 3, 'other': 0}",There are exactly 3 peppers in the picture.,counting-adversarial.json,,,,,,,,,,,images/v7w/v7w_2395593.jpg
visual7w,2397608,v7w_2397608.jpg,counting,There are exactly 4 vases shown.,4,4,test,test,3,"{'foil': 0, 'caption': 3, 'other': 0}",There are exactly 3 vases shown.,counting-adversarial.json,,,,,,,,,,,images/v7w/v7w_2397608.jpg
visual7w,2398034,v7w_2398034.jpg,counting,There are exactly 4 stars on flag.,4,4,test,test,2,"{'foil': 1, 'caption': 2, 'other': 0}",There are exactly 2 stars on flag.,counting-adversarial.json,,,,,,,,,,,images/v7w/v7w_2398034.jpg
visual7w,2398295,v7w_2398295.jpg,counting,There are exactly 4 cows.,4,4,test,test,3,"{'foil': 0, 'caption': 3, 'other': 0}",There are exactly 3 cows.,counting-adversarial.json,,,,,,,,,,,images/v7w/v7w_2398295.jpg
visual7w,2398382,v7w_2398382.jpg,counting,There are exactly 4 zebras.,4,4,test,test,1,"{'foil': 0, 'caption': 3, 'other': 0}",There is exactly 1 zebra.,counting-adversarial.json,,,,,,,,,,,images/v7w/v7w_2398382.jpg
visual7w,2398455,v7w_2398455.jpg,counting,There are exactly 4 players.,4,4,test,test,3,"{'foil': 1, 'caption': 2, 'other': 0}",There are exactly 3 players.,counting-adversarial.json,,,,,,,,,,,images/v7w/v7w_2398455.jpg
visual7w,2398592,v7w_2398592.jpg,counting,There are exactly 4 umbrellas.,4,4,test,test,0,"{'foil': 0, 'caption': 2, 'other': 1}",There are exactly 0 umbrellas.,counting-adversarial.json,,,,,,,,,,,images/v7w/v7w_2398592.jpg
visual7w,2398674,v7w_2398674.jpg,counting,There are exactly 12 kids in the pic.,12,12,test,test,2,"{'foil': 0, 'caption': 2, 'other': 1}",There are exactly 2 kids in the pic.,counting-adversarial.json,,,,,,,,,,,images/v7w/v7w_2398674.jpg
visual7w,2398773,v7w_2398773.jpg,counting,There are exactly 7 sides of the octagon shown.,7,7,test,test,1,"{'foil': 0, 'caption': 2, 'other': 1}",There is exactly 1 side of the octagon shown.,counting-adversarial.json,,,,,,,,,,,images/v7w/v7w_2398773.jpg
visual7w,2399158,v7w_2399158.jpg,counting,There are exactly 4 benches.,4,4,test,test,2,"{'foil': 0, 'caption': 3, 'other': 0}",There are exactly 2 benches.,counting-adversarial.json,,,,,,,,,,,images/v7w/v7w_2399158.jpg
visual7w,2399922,v7w_2399922.jpg,counting,There are exactly 4 people in the water.,4,4,test,test,3,"{'foil': 3, 'caption': 0, 'other': 0}",There are exactly 3 people in the water.,counting-adversarial.json,,,,,,,,,,,images/v7w/v7w_2399922.jpg
visual7w,2400750,v7w_2400750.jpg,counting,There are exactly 4 kids.,4,4,test,test,1,"{'foil': 0, 'caption': 0, 'other': 3}",There is exactly 1 kid.,counting-adversarial.json,,,,,,,,,,,images/v7w/v7w_2400750.jpg
visual7w,2400857,v7w_2400857.jpg,counting,There are exactly 4 people in the picture.,4,4,test,test,3,"{'foil': 3, 'caption': 0, 'other': 0}",There are exactly 3 people in the picture.,counting-adversarial.json,,,,,,,,,,,images/v7w/v7w_2400857.jpg
visual7w,2401086,v7w_2401086.jpg,counting,There are exactly 4 giraffes at least partially visible.,4,4,test,test,0,"{'foil': 1, 'caption': 2, 'other': 0}",There are exactly 0 giraffes at least partially visible.,counting-adversarial.json,,,,,,,,,,,images/v7w/v7w_2401086.jpg
visual7w,2401445,v7w_2401445.jpg,counting,There are exactly 6 surfboards shown.,6,6,test,test,1,"{'foil': 0, 'caption': 3, 'other': 0}",There is exactly 1 surfboard shown.,counting-adversarial.json,,,,,,,,,,,images/v7w/v7w_2401445.jpg
visual7w,2401498,v7w_2401498.jpg,counting,There are exactly 4 knobs on the stove.,4,4,test,test,2,"{'foil': 0, 'caption': 2, 'other': 1}",There are exactly 2 knobs on the stove.,counting-adversarial.json,,,,,,,,,,,images/v7w/v7w_2401498.jpg
visual7w,2401779,v7w_2401779.jpg,counting,There are exactly 4 bears.,4,4,test,test,1,"{'foil': 0, 'caption': 3, 'other': 0}",There is exactly 1 bear.,counting-adversarial.json,,,,,,,,,,,images/v7w/v7w_2401779.jpg
visual7w,2401974,v7w_2401974.jpg,counting,There are exactly 4 chimneys.,4,4,test,test,0,"{'foil': 0, 'caption': 3, 'other': 0}",There are exactly 0 chimneys.,counting-adversarial.json,,,,,,,,,,,images/v7w/v7w_2401974.jpg
visual7w,2402074,v7w_2402074.jpg,counting,There are exactly 4 red vehicles.,4,4,test,test,2,"{'foil': 0, 'caption': 3, 'other': 0}",There are exactly 2 red vehicles.,counting-adversarial.json,,,,,,,,,,,images/v7w/v7w_2402074.jpg
visual7w,2402597,v7w_2402597.jpg,counting,There are exactly 4 people in the truck.,4,4,test,test,3,"{'foil': 0, 'caption': 3, 'other': 0}",There are exactly 3 people in the truck.,counting-adversarial.json,,,,,,,,,,,images/v7w/v7w_2402597.jpg
